,Title,Publication Date,Author,Genre,Average Rating,Number of Ratings,Pages,Rank,Language,Currently Reading,Want to Read
0,The Old Man and the Sea,"First published September 1, 1952",Ernest Hemingway,Fiction,3.81,"1,212,427 ratings","96 pages, Hardcover",1,English,19.7k people are currently reading,639k people want to read
1,The Sun Also Rises,"First published October 22, 1926",Ernest Hemingway,Classics,3.79,"462,777 ratings","189 pages, Paperback",2,,17.1k people are currently reading,332k people want to read
2,A Farewell to Arms,"First published September 1, 1929",Ernest Hemingway,Fiction,3.82,"333,348 ratings","293 pages, Paperback",3,English,10.7k people are currently reading,266k people want to read
3,For Whom the Bell Tolls,"First published October 1, 1940",Ernest Hemingway,Classics,3.98,"302,756 ratings","471 pages, Paperback",4,,14.1k people are currently reading,314k people want to read
4,A Moveable Feast,"First published January 1, 1964",Ernest Hemingway,Nonfiction,4.02,"157,330 ratings","192 pages, Paperback",5,,"7,917 people are currently reading",162k people want to read
5,The Snows of Kilimanjaro and Other Stories,"First published January 1, 1936",Ernest Hemingway,Classics,3.80,"45,439 ratings","144 pages, Hardcover",6,English,"1,930 people are currently reading",34.7k people want to read
6,The Complete Short Stories of Ernest Hemingway,"First published January 1, 1987",Ernest Hemingway,Short Stories,4.29,"37,060 ratings","650 pages, Paperback",7,English,"5,404 people are currently reading",47.2k people want to read
7,To Have and Have Not,"First published January 1, 1937",Ernest Hemingway,Fiction,3.52,"34,112 ratings","176 pages, Hardcover",8,,"1,344 people are currently reading",28.6k people want to read
8,In Our Time,"First published January 1, 1924",Ernest Hemingway,Classics,3.74,"25,809 ratings","156 pages, Paperback",9,,"1,914 people are currently reading",24.1k people want to read
9,The Garden of Eden,"First published May 1, 1986",Ernest Hemingway,Classics,3.70,"22,312 ratings","248 pages, Paperback",10,English,895 people are currently reading,26.1k people want to read
10,Hills Like White Elephants,"First published August 1, 1927",Ernest Hemingway,Short Stories,3.84,"17,499 ratings","6 pages, Kindle Edition",11,,,
11,Islands in the Stream,"First published January 1, 1970",Ernest Hemingway,Fiction,3.88,"16,271 ratings","448 pages, Hardcover",12,English,,
12,Men Without Women,"First published October 1, 1927",Ernest Hemingway,Fiction,3.59,"14,333 ratings","153 pages, Paperback",13,,"1,252 people are currently reading",20.8k people want to read
13,The Short Stories,"First published October 14, 1938",Ernest Hemingway,Fiction,4.16,"11,138 ratings","499 pages, Paperback",14,English,"1,104 people are currently reading","8,364 people want to read"
