,Title,Publication Date,Author,Genre,Average Rating,Number of Ratings,Pages,Rank,Language,Currently Reading,Want to Read
0,Project Hail Mary,"First published May 4, 2021",Andy Weir,,4.50,"691,619 ratings","476 pages, Hardcover",1,,44.4k people are currently reading,666k people want to read
1,The Four Winds,"First published February 2, 2021",Kristin Hannah,,4.30,"780,238 ratings","464 pages, Hardcover",2,,48.2k people are currently reading,517k people want to read
2,Malibu Rising,"First published May 27, 2021",Taylor Jenkins Reid,,4.03,"1,138,864 ratings","369 pages, Hardcover",3,,41.4k people are currently reading,938k people want to read
3,A Court of Silver Flames,"First published February 16, 2021",Sarah J. Maas,,4.47,"1,546,866 ratings","757 pages, Hardcover",4,,87.4k people are currently reading,709k people want to read
4,The Love Hypothesis,"First published September 14, 2021",Ali Hazelwood,,4.13,"1,546,517 ratings","373 pages, Paperback",5,,39.9k people are currently reading,1m people want to read
5,People We Meet on Vacation,"First published May 11, 2021",Emily Henry,,3.86,"1,330,006 ratings","364 pages, Paperback",6,,53.6k people are currently reading,1m people want to read
6,Rule of Wolves,"First published March 30, 2021",Leigh Bardugo,,4.35,"161,407 ratings","592 pages, Paperback",7,,"5,953 people are currently reading",253k people want to read
7,Klara and the Sun,"First published March 2, 2021",Kazuo Ishiguro,,3.74,"375,773 ratings","303 pages, Hardcover",8,,26.2k people are currently reading,392k people want to read
8,The Rose Code,"First published March 9, 2021",Kate Quinn,,4.45,"296,241 ratings","624 pages, Paperback",9,,23.3k people are currently reading,319k people want to read
9,The Lost Apothecary,"First published March 2, 2021",Sarah Penner,,3.75,"415,638 ratings","301 pages, Hardcover",10,,16.3k people are currently reading,447k people want to read
10,The Last Thing He Told Me,"First published May 4, 2021",Laura Dave,,3.83,"1,032,853 ratings","307 pages, Hardcover",11,,42.4k people are currently reading,770k people want to read
11,The Push,"First published January 5, 2021",Ashley Audrain,,4.05,"380,027 ratings","307 pages, Hardcover",12,,14.4k people are currently reading,428k people want to read
12,One Last Stop,"First published June 1, 2021",Casey McQuiston,,3.91,"256,969 ratings","418 pages, Paperback",13,,16.1k people are currently reading,460k people want to read
13,"Beautiful World, Where Are You","First published September 7, 2021",Sally Rooney,,3.53,"433,304 ratings","356 pages, Hardcover",14,,30.8k people are currently reading,596k people want to read
14,Karma: A Yogi's Guide to Crafting Your Destiny,"First published April 27, 2021",Sadhguru,Spirituality,4.30,"6,159 ratings","272 pages, Hardcover",15,,"2,749 people are currently reading",24k people want to read
15,The Spanish Love Deception,"First published February 23, 2021",Elena Armas,,3.81,"742,687 ratings","487 pages, ebook",16,,31.1k people are currently reading,638k people want to read
16,The Anthropocene Reviewed: Essays on a Human-Centered Planet,"First published May 18, 2021",John Green,,4.36,"142,771 ratings","304 pages, Hardcover",17,,14.5k people are currently reading,257k people want to read
17,The Crown of Gilded Bones,"First published April 20, 2021",Jennifer L. Armentrout,,4.17,"365,475 ratings","645 pages, Paperback",18,,34.1k people are currently reading,258k people want to read
18,Fugitive Telemetry,"First published April 27, 2021",Martha Wells,,4.30,"79,668 ratings","168 pages, Hardcover",19,,"2,784 people are currently reading",33.4k people want to read
19,Later,"First published March 2, 2021",Stephen King,,3.97,"135,723 ratings","248 pages, Kindle Edition",20,,"9,323 people are currently reading",87.3k people want to read
20,The Soulmate Equation,"First published May 18, 2021",Christina Lauren,,4.00,"262,537 ratings","360 pages, Hardcover",21,,"6,682 people are currently reading",312k people want to read
21,Billy Summers,"First published August 3, 2021",Stephen King,,4.19,"171,115 ratings","517 pages, Hardcover",22,,14.4k people are currently reading,200k people want to read
22,The Gilded Ones,"First published May 1, 2020",Namina Forna,Fantasy,3.99,"51,945 ratings","432 pages, Kindle Edition",23,,"2,634 people are currently reading",182k people want to read
23,The Maidens,"First published June 3, 2021",Alex Michaelides,,3.62,"380,582 ratings","337 pages, Hardcover",24,,13.8k people are currently reading,408k people want to read
24,Finlay Donovan Is Killing It,"First published February 2, 2021",Elle Cosimano,Mystery,4.01,"194,201 ratings","355 pages, Hardcover",25,,"9,311 people are currently reading",176k people want to read
25,Crying in H Mart,"First published April 20, 2021",Michelle Zauner,,4.25,"489,677 ratings","239 pages, Hardcover",26,,34.5k people are currently reading,608k people want to read
26,The Final Girl Support Group,"First published July 13, 2021",Grady Hendrix,,3.51,"156,970 ratings","352 pages, Hardcover",27,,"7,537 people are currently reading",303k people want to read
27,Chain of Iron,"First published March 2, 2021",Cassandra Clare,,4.42,"82,125 ratings","656 pages, Hardcover",28,,"3,367 people are currently reading",124k people want to read
28,The Hawthorne Legacy,"First published September 7, 2021",Jennifer Lynn Barnes,,4.20,"505,316 ratings","380 pages, Hardcover",29,,19.6k people are currently reading,286k people want to read
29,Empire of Pain: The Secret History of the Sackler Dynasty,"First published April 13, 2021",Patrick Radden Keefe,,4.54,"115,887 ratings","535 pages, Hardcover",30,,12.6k people are currently reading,234k people want to read
30,"Act Your Age, Eve Brown","First published March 9, 2021",Talia Hibbert,,4.09,"94,814 ratings","400 pages, ebook",31,,"2,284 people are currently reading",151k people want to read
31,The Paris Library,"First published February 9, 2021",Janet Skeslien Charles,,4.07,"132,006 ratings","368 pages, Hardcover",32,,10.2k people are currently reading,257k people want to read
32,Cloud Cuckoo Land,"First published September 28, 2021",Anthony Doerr,,4.25,"236,801 ratings","626 pages, Hardcover",33,,39.2k people are currently reading,372k people want to read
33,Heartstopper: Volume Four,"First published May 6, 2021",Alice Oseman,,4.59,"412,144 ratings","384 pages, Hardcover",34,,"3,139 people are currently reading",123k people want to read
34,Any Way the Wind Blows,"First published July 6, 2021",Rainbow Rowell,,4.12,"57,996 ratings","579 pages, Hardcover",35,,"2,158 people are currently reading",65.1k people want to read
35,The Wife Upstairs,"First published January 5, 2021",Rachel Hawkins,,3.73,"288,070 ratings","290 pages, Hardcover",36,,13.7k people are currently reading,283k people want to read
36,Concrete Rose,"First published January 9, 2021",Angie Thomas,,4.39,"62,578 ratings","368 pages, Hardcover",37,,"1,973 people are currently reading",102k people want to read
37,The Witch's Heart,"First published February 9, 2021",Genevieve Gornichec,,4.05,"55,263 ratings","359 pages, Hardcover",38,,"3,033 people are currently reading",189k people want to read
38,Firekeeper’s Daughter,"First published March 16, 2021",Angeline Boulley,,4.32,"175,574 ratings","496 pages, Hardcover",39,,"8,877 people are currently reading",306k people want to read
39,When Strivings Cease: Replacing the Gospel of Self-Improvement with the Gospel of Life-Transforming Grace,"First published October 12, 2021",Ruth Chou Simons,Christian,4.37,"3,374 ratings","224 pages, Hardcover",40,,817 people are currently reading,"9,015 people want to read"
40,Broken,"First published April 6, 2021",Jenny Lawson,,4.02,"43,800 ratings","285 pages, Hardcover",41,,"4,254 people are currently reading",100k people want to read
41,Under the Whispering Door,"First published September 21, 2021",T.J. Klune,,4.14,"264,541 ratings","376 pages, Hardcover",42,,14.8k people are currently reading,370k people want to read
42,The Guncle,"First published May 25, 2021",Steven Rowley,,4.13,"164,030 ratings","326 pages, Hardcover",43,,"8,319 people are currently reading",169k people want to read
43,The Mary Shelley Club,"First published April 13, 2021",Goldy Moldavsky,Horror,3.92,"15,276 ratings","468 pages, Hardcover",44,,534 people are currently reading,33.1k people want to read
44,My Wife Jodie,"First published July 16, 2021",V.A. Rudys,Thriller,3.97,718 ratings,"384 pages, Paperback",45,,71 people are currently reading,887 people want to read
45,The Zero Signal,"First published May 26, 2021",Rick Wayne,Science Fiction,4.15,81 ratings,"474 pages, ebook",46,,14 people are currently reading,788 people want to read
46,Leaving Isn't the Hardest Thing,"First published April 13, 2021",Lauren Hough,Memoir,3.41,"10,336 ratings","314 pages, Kindle Edition",47,,655 people are currently reading,25k people want to read
47,Blood Heir,"First published January 12, 2021",Ilona Andrews,Urban Fantasy,4.45,"21,226 ratings","359 pages, ebook",48,,"1,939 people are currently reading",15.7k people want to read
48,Local Woman Missing,"First published May 18, 2021",Mary Kubica,,4.14,"581,762 ratings","356 pages, Hardcover",49,,23.2k people are currently reading,465k people want to read
49,The Heart Principle,"First published August 31, 2021",Helen Hoang,,3.94,"121,346 ratings","339 pages, Paperback",50,,"2,247 people are currently reading",171k people want to read
50,Lore,"First published January 5, 2021",Alexandra Bracken,,3.75,"99,234 ratings","480 pages, Hardcover",51,,"9,528 people are currently reading",248k people want to read
51,The Good Sister,"First published October 27, 2020",Sally Hepworth,Thriller,4.15,"203,002 ratings","309 pages, Hardcover",52,,10k people are currently reading,168k people want to read
52,Wild Sign,"First published March 16, 2021",Patricia Briggs,Urban Fantasy,4.51,"22,542 ratings","368 pages, Hardcover",53,,"1,155 people are currently reading","9,935 people want to read"
53,The Ex Talk,"First published January 26, 2021",Rachel Lynn Solomon,,3.68,"94,384 ratings","345 pages, Kindle Edition",54,,"2,410 people are currently reading",160k people want to read
54,Lore Olympus: Volume One,"First published November 2, 2021",Rachel Smythe,,4.24,"151,561 ratings","384 pages, Hardcover",55,,"2,119 people are currently reading",131k people want to read
55,The Paper Palace,"First published July 6, 2021",Miranda Cowley Heller,,3.80,"355,115 ratings","400 pages, Hardcover",57,,22.6k people are currently reading,314k people want to read
56,"Detransition, Baby","First published January 12, 2021",Torrey Peters,,3.94,"83,681 ratings","337 pages, Hardcover",58,,"4,833 people are currently reading",156k people want to read
57,Life’s Too Short,"First published April 6, 2021",Abby Jimenez,,4.16,"183,616 ratings","384 pages, ebook",59,,"6,606 people are currently reading",157k people want to read
58,The Man Who Died Twice,"First published September 16, 2021",Richard Osman,Mystery,4.37,"271,613 ratings","422 pages, Kindle Edition",60,,12.1k people are currently reading,131k people want to read
59,It Happened One Summer,"First published July 13, 2021",Tessa Bailey,,3.93,"630,358 ratings","397 pages, Paperback",61,,19.6k people are currently reading,589k people want to read
60,The Lincoln Highway,"First published October 5, 2021",Amor Towles,,4.23,"281,836 ratings","576 pages, Hardcover",62,,35.4k people are currently reading,242k people want to read
61,The Burning Girls,"First published January 21, 2021",C.J. Tudor,Horror,4.01,"45,859 ratings","333 pages, Hardcover",63,,"1,425 people are currently reading",81.6k people want to read
62,Glint,"First published January 1, 2022",Raven Kennedy,Fantasy,4.16,"156,767 ratings","479 pages, Kindle Edition",64,,"7,096 people are currently reading",111k people want to read
63,The Reading List,"First published August 3, 2021",Sara Nisha Adams,,4.07,"114,822 ratings","368 pages, Hardcover",65,,10.2k people are currently reading,195k people want to read
